Latency(ms), Throughput(byte/s), Throughput(pps), Packets Processed, Packets Dropped, Input Buffer Max Length, Output Buffer Max Length, Time in Input Buffer(ms), Time in Output Buffer(ms), Time in pkt processing(ms), Path Latency(ms)
9.35304,170770.02632491602, 1199.7888501757354,                 50000, 1089, 17,                 20, 0.15082,                 8.72586, 0.00038, 0.4759799999999997
15.18974,114018.02778824908, 799.8144428444957,                 50000, 1418, 14,                 20, 0.10446,                 14.6762, 0.00044, 0.4086400000000012
10.58502,142551.32347455045, 999.970000999964,                 50000, 1118, 18,                 20, 0.1004,                 10.0641, 0.00036, 0.42015999999999976
10.302,142554.17447251055, 999.9900001999961,                 50000, 1405, 16,                 20, 0.0894,                 9.83228, 0.00034, 0.3799799999999993
10.61206,142538.4953798161, 999.8800143980802,                 50000, 1271, 7,                 20, 0.04058,                 10.26906, 0.00028, 0.3021399999999997
10.15956,142532.79480983442, 999.8400259957127,                 50000, 1410, 10,                 20, 0.05794,                 9.83472, 0.00024, 0.2666599999999997
