Latency(ms), Throughput(byte/s), Throughput(pps), Packets Processed, Packets Dropped, Input Buffer Max Length, Output Buffer Max Length, Time in Input Buffer(ms), Time in Output Buffer(ms), Time in pkt processing(ms), Path Latency(ms)
26.27566,811209.0341484107, 5672.7904485902845,                 50000, 2989, 620,                 80, 4.89904,                 8.31336, 0.00136, 13.0619
24.50754,828496.5626895467, 5793.682256570257,                 50000, 2181, 347,                 80, 3.28726,                 8.23974, 0.00056, 12.97998
13.52992,704395.6367042807, 4941.199341837464,                 50000, 2714, 153,                 80, 0.5847,                 9.32122, 0.00046, 3.6235400000000006
13.88428,703564.1134623401, 4935.346289843161,                 50000, 2711, 166,                 80, 0.65872,                 9.51692, 0.00058, 3.7080599999999992
19.11086,684724.3145640448, 4803.069354143276,                 50000, 2178, 174,                 80, 0.74732,                 9.7506, 0.0006, 8.61234
18.87354,679300.1281990116, 4765.086970855744,                 50000, 2508, 508,                 80, 1.83124,                 9.76562, 0.00048, 7.276199999999998
